vacc_id,vacc_name,vacc_vocab,p1,p2,p3,p4,p5,p6,m1,m2,m3,m4,m5,m6
46257760,"Meningococcal recombinant protein vaccine and outer membrane vesicle vaccine, serogroup B (MenB-4C), 2 dose schedule, for intramuscular use",CPT4,,,,,,meningococcal,,,,,,meningococcal recombinant
2213490,"Hepatitis B (HepB) vaccine, adolescent dosage, 2 dose schedule, for intramuscular use",CPT4,,,,,hepatitis b,,,,,,,
46257761,"Meningococcal recombinant lipoprotein vaccine, serogroup B (MenB-FHbp), 3 dose schedule, for intramuscular use",CPT4,,,,,,meningococcal,,,,,,meningococcal recombinant
44816443,"Vaccine for influenza administered into muscle, preservative and antibiotic free",CPT4,,,,,,influenza,,,,,,
42628611,"Vaccine for influenza derived from cell cultures for administration into muscle, 0.5 ml dosage, quadrivalent, , preservative and antibiotic free",CPT4,,,,,,influenza,,,,,,
2213490,"Vaccine for Hepatitis B (2 dose schedule) for injection into muscle, adolescent patient",CPT4,,,,,hepatitis b,,,,,,,
46257761,"Meningococcal recombinant lipoprotein vaccine, serogroup B (MenB-FHbp), 2 dose schedule, for intramuscular use",CPT4,,,,,,meningococcal,,,,,,meningococcal recombinant
2213491,"Hepatitis B (HepB) vaccine, pediatric dosage, 3 dose schedule, for intramuscular use",CPT4,,,,,hepatitis b,,,,,,,
2213491,"Hepatitis B (HepB) vaccine, adolescent dosage, 3 dose schedule, for intramuscular use",CPT4,,,,,hepatitis b,,,,,,,
2213491,"Vaccine for Hepatitis B (3 dose schedule) for injection into muscle, pediatric and adolescent patients",CPT4,,,,,hepatitis b,,,,,,,
2213492,"Hepatitis B (HepB) vaccine, adult dosage, 3 dose schedule, for intramuscular use",CPT4,,,,,hepatitis b,,,,,,,
42628541,"Influenza virus vaccine, quadrivalent (RIV4), derived from recombinant DNA, hemagglutinin (HA) protein only, preservative and antibiotic free, for intramuscular use | [Therapeutic or Preventive Procedure]",CPT4,,,,,,influenza,,,,,,influenza recomb
42628541,"Vaccine for influenza derived from DNA for injection into muscle, quadrivalent, preservative and antibiotic free",CPT4,,,,,,influenza,,,,,,
2213492,Vaccine for Hepatitis B adult dosage (3 dose schedule) injection into muscle,CPT4,,,,,hepatitis b,,,,,,,
44816521,"Split virus, preservative free influenza virus vaccine, quadrivalent (IIV4), 0.25 mL dosage, for intramuscular use",CPT4,,,,,,influenza,,,,,,
44816521,"Vaccine for influenza for administration into muscle, 0.25 ml dosage, quadrivalent, preservation free",CPT4,,,,,,influenza,,,,,,
2213493,"Hepatitis B (HepB) vaccine, dialysis patient dosage, 4 dose schedule, for intramuscular use",CPT4,,,,,hepatitis b,,,,,,,
44816520,"Vaccine for influenza for administration into muscle, 0.5 ml dosage, quadrivalent, preservation free",CPT4,,,,,,influenza,,,,,,
44816520,"Split virus, preservative free influenza virus vaccine, quadrivalent (IIV4), 0.5 mL dosage, for intramuscular use",CPT4,,,,,,influenza,,,,,,
42628616,HZV ZOSTER VACC RECOMBINANT ADJUVANTED IM NJX,CPT4,,,,varicella,,,,,,varicella recombinant,,
44816519,"Vaccine for influenza for administration into muscle, 0.25 ml dosage, quadrivalent",CPT4,,,,,,influenza,,,,,,
44816519,"Split virus influenza virus vaccine, quadrivalent (IIV4), 0.25 mL dosage, for intramuscular use",CPT4,,,,,,influenza,,,,,,
44816518,"Vaccine for influenza for administration into muscle, 0.5 ml dosage, quadrivalent",CPT4,,,,,,influenza,,,,,,
44816518,"Split virus influenza virus vaccine, quadrivalent (IIV4), 0.5 mL dosage, for intramuscular use",CPT4,,,,,,influenza,,,,,,
927158,"Inactivated adjuvanted influenza virus vaccine, quadriavalent (IIV4), preservative free, 0.25 mL dosage, for intramuscular use",CPT4,,,,,,influenza,,,,,,
927158,"Inactivated quadrivalent influenza vaccine for injection into muscle, 0.25 ml dosage",CPT4,,,,,,influenza,,,,,,
725110,"Influenza virus vaccine, quadrivalent (ccIIV4), derived from cell cultures, subunit, antibiotic free, 0.5 mL dosage, for intramuscular use | [Therapeutic or Preventive Procedure]",CPT4,,,,,,influenza,,,,,,
725110,"Vaccine for influenza derived from cell cultures for injection into muscle, quadrivalent, antibiotic free, 0.5mL dosage",CPT4,,,,,,influenza,,,,,,
40213264,Adenovirus types 4 and 7,CVX,,,,,,adenovirus,,,,,,
40213223,rubella,CVX,,rubella,,,,,,,,,,
40213178,"meningococcal MCV4, unspecified formulation",CVX,,,,,,meningococcal,,,,,,
40213185,mumps,CVX,,,mumps,,,,,,,,,
724901,"meningococcal polysaccharide (groups A, C, Y, W-135) TT conjugate",CVX,,,,,,meningococcal,,,,,,meningococcal polysaccharide
40213177,Meningococcal C/Y-HIB PRP,CVX,,,,,,haemophilus influenza,,,,,,
40213142,"Influenza, injectable, MDCK, preservative free",CVX,,,,,,influenza,,,,,,
40213304,"Hep B, adolescent or pediatric",CVX,,,,,hepatitis b,,,,,,,
724903,Smallpox monkeypox vaccine (National Stockpile),CVX,,,,,,smallpox,,,,,,
40213251,varicella,CVX,,,,varicella,,,,,,,,
40213326,"Influenza A monovalent (H5N1), ADJUVANTED-2013",CVX,,,,,,influenza,,,,,,
40213199,pneumococcal conjugate PCV 7,CVX,,,,,,pneumococcal,,,,,,pneumococcal conjugate
40213174,"meningococcal B, recombinant",CVX,,,,,,meningococcal,,,,,,meningococcal recombinant
40213176,meningococcal C conjugate,CVX,,,,,,meningococcal,,,,,,meningococcal conjugate
40213173,"meningococcal B, OMV",CVX,,,,,,meningococcal,,,,,,
40213175,"meningococcal B, unspecified",CVX,,,,,,meningococcal,,,,,,
702674,"Pneumococcal conjugate PCV15, polysaccharide CRM197 conjugate, adjuvant, PF",CVX,,,,,,pneumococcal,,,,,,pneumococcal polysaccharide
40213172,"meningococcal ACWY, unspecified formulation",CVX,,,,,,meningococcal,,,,,,
702675,"Pneumococcal conjugate PCV20, polysaccharide CRM197 conjugate, adjuvant, PF",CVX,,,,,,pneumococcal,,,,,,pneumococcal polysaccharide
40213182,"meningococcal, unknown serogroups",CVX,,,,,,meningococcal,,,,,,
40213202,"pneumococcal, unspecified formulation",CVX,,,,,,pneumococcal,,,,,,
40213143,"Influenza, injectable, MDCK, preservative free, quadrivalent",CVX,,,,,,influenza,,,,,,
40213196,pertussis,CVX,,,pertussis,,,,,,,,,
40213181,meningococcal MPSV4,CVX,,,,,,meningococcal,,,,,,
40213180,meningococcal MCV4P,CVX,,,,,,meningococcal,,,,,,
40213201,pneumococcal polysaccharide PPV23,CVX,,,,,,pneumococcal,,,,,,pneumococcal polysaccharide
40213258,Yellow fever vaccine - alt,CVX,,,,,,yellow fever,,,,,,
40213259,"Yellow fever, unspecified formulation",CVX,,,,,,yellow fever,,,,,,
40213230,Tdap,CVX,,,,,,,,,acellular pertussis,,,
40213144,"Influenza, injectable, MDCK, quadrivalent, preservative",CVX,,,,,,influenza,,,,,,
706103,zoster recombinant,CVX,,,,varicella,,,,,,varicella recombinant,,
40213257,yellow fever,CVX,,,,,,yellow fever,,,,,,
40213224,rubella/mumps,CVX,,rubella,mumps,,,,,,,,,
40213162,Japanese encephalitis SC,CVX,,,,,,japanese encephalitis,,,,,,
40213260,zoster live,CVX,,,,varicella,,,,,,varicella live,,
706104,"zoster, unspecified formulation",CVX,,,,varicella,,,,,,,,
40213188,"Novel Influenza-H1N1-09, nasal",CVX,,,,,,influenza,,,,,,
40213163,"Japanese Encephalitis, unspecified formulation",CVX,,,,,,japanese encephalitis,,,,,,
706107,meningococcal A polysaccharide (non-US),CVX,,,,,,meningococcal,,,,,,meningococcal polysaccharide
40213305,"Hep B, adolescent/high risk infant",CVX,,,,,hepatitis b,,,,,,,
40213198,Pneumococcal conjugate PCV 13,CVX,,,,,,pneumococcal,,,,,,pneumococcal conjugate
40213306,"Hep B, adult",CVX,,,,,hepatitis b,,,,,,,
706108,meningococcal AC polysaccharide (non-US),CVX,,,,,,meningococcal,,,,,,meningococcal polysaccharide
40213161,Japanese Encephalitis IM,CVX,,,,,,japanese encephalitis,,,,,,
40213179,Meningococcal MCV4O,CVX,,,,,,meningococcal,,,,,,
40213307,"Hep B, dialysis",CVX,,,,,hepatitis b,,,,,,,
2617178,Admin pneumococcal vaccine,HCPCS,,,,,,pneumococcal,,,,,,
40213308,"Hep B, unspecified formulation",CVX,,,,,hepatitis b,,,,,,,
40213265,"adenovirus, type 4",CVX,,,,,,adenovirus,,,,,,
40213266,"adenovirus, type 7",CVX,,,,,,adenovirus,,,,,,
2617179,Admin hepatitis b vaccine,HCPCS,,,,,hepatitis b,,,,,,,
43018333,"Introduction of Influenza Vaccine into Subcu, Perc Approach",ICD10PCS,,,,,,influenza,,,,,,
40213165,leishmaniasis,CVX,,,,,,leishmaniasis,,,,,,
40213169,malaria,CVX,,,,,,malaria,,,,,,
40213235,tick-borne encephalitis,CVX,,,,,,tick-borne encephalitis,,,,,,
40213267,"adenovirus, unspecified formulation",CVX,,,,,,adenovirus,,,,,,
40664584,"Influenza virus vaccine, nos",HCPCS,,,,,,influenza,,,,,,
43018333,"Administration @ Physiological Systems and Anatomical Regions @ Introduction @ Subcutaneous Tissue @ Percutaneous @ Serum, Toxoid and Vaccine @ Influenza Vaccine",ICD10PCS,,,,,,influenza,,,,,,
1531633,"Introduction of Influenza Vaccine into Muscle, Perc Approach",ICD10PCS,,,,,,influenza,,,,,,
45247153,0.5 ML Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjug...,NDC,,,,,,pneumococcal,,,,,,pneumococcal conjugate
1531633,"Administration @ Physiological Systems and Anatomical Regions @ Introduction @ Muscle @ Percutaneous @ Serum, Toxoid and Vaccine @ Influenza Vaccine",ICD10PCS,,,,,,influenza,,,,,,
43018391,Introduce Endoth Dmg Inhib Vn Grft New Tech 3,ICD10PCS,,,,,,haemophilus influenza,,,,,,
46233690,"meningococcal group b vaccine 60ug/.5mL INTRAMUSCULAR INJECTION, SUSPENSION",NDC,,,,,,meningococcal,,,,,,
2008291,Tularemia vaccination,ICD9Proc,,,,,,tularemia,,,,,,
2008313,Pertussis vaccination,ICD9Proc,,,pertussis,,,,,,,,,
2008314,Tetanus toxoid administ,ICD9Proc,,tetanus,,,,,,tetanus toxoid,,,,
2008317,Polio vaccine administra,ICD9Proc,,,,poliovirus,,,,,,,,
44889314,0.5 ML Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjug...,NDC,,,,,,pneumococcal,,,,,,pneumococcal conjugate
2008319,Yellow fever vaccination,ICD9Proc,,,,,,yellow fever,,,,,,
45861133,"meningococcal group b vaccine 60ug/.5mL INTRAMUSCULAR INJECTION, SUSPENSION",NDC,,,,,,meningococcal,,,,,,
45144423,0.5 ML Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjug...,NDC,,,,,,pneumococcal,,,,,,pneumococcal conjugate
45867383,"meningococcal group b vaccine 60ug/.5mL INTRAMUSCULAR INJECTION, SUSPENSION",NDC,,,,,,meningococcal,,,,,,
2008332,Mumps vaccination,ICD9Proc,,,mumps,,,,,,,,,
45144424,0.5 ML Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjug...,NDC,,,,,,pneumococcal,,,,,,pneumococcal conjugate
2008333,Rubella vaccination,ICD9Proc,,rubella,,,,,,,,,,
2008341,Tetanus antitoxin admini,ICD9Proc,,tetanus,,,,,,,,,,
45298575,"varicella virus vaccine live 1350[PFU]/.5mL SUBCUTANEOUS INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION",NDC,,,,varicella,,,,,,varicella live,,
45230250,"varicella virus vaccine live 1350[PFU]/.5mL SUBCUTANEOUS INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION",NDC,,,,varicella,,,,,,varicella live,,
45868586,"hepatitis b vaccine (recombinant) 5ug/.5mL INTRAMUSCULAR; SUBCUTANEOUS INJECTION, SUSPENSION",NDC,,,,,hepatitis b,,,,,,hepatitis b recombinant,
45871623,0.5 ML Streptococcus pneumoniae type 1 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 10A capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 11A capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 12F capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 14 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 15B capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 17F capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 18C capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 19A capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 19F capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 2 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 20 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 22F capsular polys...,NDC,,,,,,pneumococcal,,,,,,pneumococcal polysaccharide
45144473,"hepatitis b vaccine (recombinant) 5ug/.5mL INTRAMUSCULAR; SUBCUTANEOUS INJECTION, SUSPENSION",NDC,,,,,hepatitis b,,,,,,hepatitis b recombinant,
45870718,"hepatitis b vaccine (recombinant) 10ug/mL INTRAMUSCULAR; SUBCUTANEOUS INJECTION, SUSPENSION",NDC,,,,,hepatitis b,,,,,,hepatitis b recombinant,
45871622,0.5 ML Streptococcus pneumoniae type 1 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 10A capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 11A capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 12F capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 14 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 15B capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 17F capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 18C capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 19A capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 19F capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 2 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 20 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 22F capsular polys...,NDC,,,,,,pneumococcal,,,,,,pneumococcal polysaccharide
44838014,"hepatitis b vaccine (recombinant) 10ug/mL INTRAMUSCULAR; SUBCUTANEOUS INJECTION, SUSPENSION",NDC,,,,,hepatitis b,,,,,,hepatitis b recombinant,
